,product_price,shipping_cost,assembly_cost,delivery_window_days,customer_rating,product_category,product_subcategory,brand,assembly_service_requested,payment_method,payment_timing,delivery_status
733,710.44,80.27,0.0,4.0,5.0,Bedroom,Storage,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
454,2002.42,0.0,233.89,8.0,3.3,Kitchen,Storage,Premium,True,Bank Transfer,Prepaid,Failed Delivery
56,1317.06,123.38,0.0,10.0,3.2,Outdoor,Seating,Premium,False,Digital Wallet,Prepaid,Failed Delivery
1721,143.8,43.32,0.0,12.0,1.8,Dining Room,Table,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1012,1121.66,0.0,48.77,14.0,1.9,Office,Work,Affordable,True,Digital Wallet,Prepaid,On Going
1147,1280.78,0.0,0.0,8.0,1.8,Bedroom,Sleeping,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
780,1799.08,144.1,0.0,7.0,4.9,Outdoor,Table,Affordable,False,Card,Prepaid,On Going
1101,1454.85,65.44,80.37,14.0,3.5,Dining Room,Storage,Affordable,True,Digital Wallet,Prepaid,On Going
1115,687.37,97.38,0.0,13.0,1.9,Outdoor,Seating,Affordable,False,Cash,Postpaid,Failed Delivery
929,605.09,0.0,0.0,12.0,1.8,Office,Storage,Mid Range,False,Card,Prepaid,Failed Delivery
1595,1013.35,0.0,40.17,7.0,4.3,Living Room,Seating,Affordable,True,Bank Transfer,Prepaid,Delivered
951,1014.79,56.09,75.81,9.0,3.0,Dining Room,Storage,Mid Range,True,Bank Transfer,Prepaid,Failed Delivery
198,878.59,105.73,186.43,4.0,1.3,Office,Work,Premium,True,Card,Prepaid,Delivered
1709,2510.29,86.54,173.05,13.0,2.4,Bedroom,Storage,Affordable,True,Card,Prepaid,Failed Delivery
1430,925.22,129.21,0.0,9.0,4.3,Outdoor,Patio furniture,Premium,False,Cash,Postpaid,On Going
177,294.68,92.89,52.62,7.0,2.9,Bedroom,Sleeping,Mid Range,True,Card,Prepaid,On Going
1833,1379.32,0.0,0.0,9.0,2.6,Office,Work,Mid Range,False,Digital Wallet,Prepaid,On Going
397,1165.06,85.97,54.34,5.0,2.4,Outdoor,Seating,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
1192,921.64,0.0,194.42,7.0,2.5,Kitchen,Table,Premium,True,Digital Wallet,Prepaid,On Going
1720,950.87,80.95,272.43,7.0,2.7,Dining Room,Storage,Affordable,True,Cash,Postpaid,Delivered
1850,90.4,81.85,0.0,12.0,3.4,Office,Work,Affordable,True,Card,Prepaid,Delivered
317,2159.92,137.65,109.76,3.0,3.9,Kitchen,Storage,Premium,True,Bank Transfer,Prepaid,On Going
518,1051.39,107.96,153.5,1.0,3.1,Office,Work,Premium,True,Bank Transfer,Prepaid,Failed Delivery
1217,600.98,106.34,236.26,13.0,2.6,Outdoor,Seating,Premium,True,Cash,Postpaid,On Going
700,713.69,109.95,82.32,1.0,1.0,Outdoor,Table,Affordable,True,Card,Prepaid,Failed Delivery
806,1829.22,148.6,0.0,10.0,1.8,Kitchen,Storage,Mid Range,False,Cash,Postpaid,Failed Delivery
525,933.07,0.0,0.0,1.0,4.2,Outdoor,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
744,1226.74,141.03,0.0,8.0,1.2,Office,Work,Mid Range,False,Bank Transfer,Prepaid,Delivered
1411,2425.16,69.63,0.0,7.0,2.9,Bedroom,Storage,Mid Range,False,Card,Prepaid,Failed Delivery
304,1093.84,67.22,0.0,3.0,3.7,Outdoor,Seating,Affordable,False,Digital Wallet,Prepaid,On Going
435,1432.52,62.58,198.17,13.0,2.4,Dining Room,Seating,Premium,True,Card,Prepaid,Failed Delivery
164,508.05,0.0,0.0,13.0,1.2,Living Room,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1309,964.05,108.36,0.0,9.0,1.8,Dining Room,Storage,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
872,1462.87,59.74,0.0,12.0,3.0,Office,Storage,Premium,False,Digital Wallet,Prepaid,On Going
710,195.99,57.4,184.05,4.0,3.1,Outdoor,Patio furniture,Mid Range,True,Cash,Postpaid,Delivered
1434,853.02,69.86,74.63,3.0,2.3,Office,Work,Mid Range,True,Digital Wallet,Prepaid,On Going
853,2315.06,131.55,0.0,6.0,2.0,Bedroom,Sleeping,Premium,False,Digital Wallet,Prepaid,Failed Delivery
1435,376.73,31.29,0.0,13.0,5.0,Living Room,Table,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1517,1268.31,0.0,0.0,4.0,3.4,Kitchen,Table,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
1431,460.55,43.11,133.16,3.0,4.3,Bedroom,Storage,Affordable,True,Bank Transfer,Prepaid,Failed Delivery
1336,1911.98,55.99,102.41,7.0,3.5,Living Room,Table,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
355,293.46,45.93,0.0,3.0,4.4,Living Room,Seating,Affordable,False,Digital Wallet,Prepaid,Delivered
842,1537.5,110.72,50.18,10.0,3.8,Kitchen,Storage,Premium,True,Digital Wallet,Prepaid,Failed Delivery
36,1060.51,93.64,284.93,4.0,3.8,Kitchen,Storage,Affordable,True,Cash,Postpaid,Failed Delivery
1185,1294.07,0.0,145.17,2.0,1.1,Bedroom,Storage,Affordable,True,Digital Wallet,Prepaid,On Going
285,343.84,60.85,0.0,10.0,1.5,Kitchen,Table,Affordable,False,Cash,Postpaid,On Going
18,734.59,136.38,26.52,12.0,4.4,Outdoor,Seating,Mid Range,True,Card,Prepaid,On Going
722,1655.97,147.53,64.21,4.0,3.9,Outdoor,Patio furniture,Affordable,True,Card,Prepaid,Failed Delivery
1562,183.64,92.47,74.38,11.0,3.8,Dining Room,Storage,Premium,True,Digital Wallet,Prepaid,On Going
679,1127.27,0.0,145.43,3.0,4.3,Office,Work,Mid Range,True,Card,Prepaid,On Going
754,586.13,0.0,0.0,9.0,3.1,Living Room,Table,Affordable,False,Digital Wallet,Prepaid,Delivered
939,2261.89,85.94,96.03,7.0,4.9,Bedroom,Storage,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
1311,2148.5,0.0,0.0,3.0,4.7,Living Room,Seating,Mid Range,False,Card,Prepaid,Failed Delivery
1813,1239.67,0.0,0.0,9.0,1.7,Kitchen,Table,Premium,False,Digital Wallet,Prepaid,On Going
871,414.39,73.85,0.0,13.0,2.6,Living Room,Storage,Mid Range,False,Cash,Postpaid,Delivered
8,568.59,76.27,0.0,10.0,1.9,Dining Room,Seating,Premium,False,Digital Wallet,Prepaid,Failed Delivery
1535,2601.03,144.52,131.94,14.0,4.5,Bedroom,Sleeping,Mid Range,True,Card,Prepaid,Failed Delivery
772,170.36,82.82,0.0,7.0,4.9,Outdoor,Seating,Mid Range,False,Card,Prepaid,Failed Delivery
1579,2075.39,0.0,0.0,3.0,3.1,Kitchen,Storage,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
892,1150.23,0.0,0.0,7.0,3.6,Dining Room,Seating,Mid Range,False,Bank Transfer,Prepaid,Failed Delivery
50,151.4,53.43,0.0,13.0,2.1,Office,Work,Affordable,True,Cash,Postpaid,Delivered
1098,588.59,83.98,181.51,2.0,3.8,Living Room,Table,Premium,True,Digital Wallet,Prepaid,Failed Delivery
409,378.96,77.55,0.0,6.0,2.1,Office,Work,Premium,False,Card,Prepaid,Failed Delivery
1879,890.36,51.2,0.0,4.0,2.0,Bedroom,Storage,Affordable,False,Card,Prepaid,Failed Delivery
670,487.51,52.93,0.0,6.0,2.0,Kitchen,Table,Affordable,False,Cash,Postpaid,Failed Delivery
1228,737.71,135.36,0.0,7.0,1.5,Dining Room,Storage,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1766,1359.22,121.12,231.52,9.0,2.6,Dining Room,Storage,Affordable,True,Cash,Postpaid,On Going
1696,892.59,119.23,88.15,9.0,3.8,Living Room,Seating,Affordable,True,Card,Prepaid,On Going
743,1592.48,118.48,0.0,4.0,3.1,Kitchen,Storage,Premium,False,Card,Prepaid,Failed Delivery
1190,258.01,43.47,98.02,8.0,2.6,Outdoor,Patio furniture,Affordable,True,Digital Wallet,Prepaid,On Going
1661,1288.94,120.4,0.0,1.0,4.0,Outdoor,Seating,Affordable,True,Digital Wallet,Prepaid,On Going
483,2425.85,86.02,44.21,6.0,2.5,Kitchen,Table,Mid Range,True,Cash,Postpaid,Failed Delivery
1063,2040.71,55.38,179.29,3.0,2.8,Bedroom,Sleeping,Premium,True,Card,Prepaid,Failed Delivery
1102,1210.05,0.0,0.0,8.0,1.7,Dining Room,Seating,Affordable,False,Card,Prepaid,Failed Delivery
1929,1706.08,0.0,0.0,8.0,1.6,Outdoor,Seating,Mid Range,False,Card,Prepaid,On Going
1301,1393.69,0.0,159.95,2.0,4.1,Kitchen,Storage,Affordable,True,Digital Wallet,Prepaid,On Going
440,2120.94,0.0,55.35,4.0,3.1,Living Room,Seating,Mid Range,True,Cash,Postpaid,Failed Delivery
1239,893.8,98.04,0.0,5.0,2.3,Outdoor,Table,Affordable,False,Card,Prepaid,On Going
770,990.85,118.85,288.98,12.0,2.9,Outdoor,Table,Affordable,True,Bank Transfer,Prepaid,Failed Delivery
1187,633.51,68.18,109.7,11.0,3.4,Living Room,Table,Mid Range,True,Digital Wallet,Prepaid,On Going
1318,371.77,35.84,175.26,7.0,2.3,Office,Work,Affordable,True,Card,Prepaid,Delivered
271,540.67,0.0,0.0,13.0,4.3,Outdoor,Seating,Affordable,False,Digital Wallet,Prepaid,Delivered
1753,1137.14,108.78,0.0,12.0,3.4,Outdoor,Seating,Affordable,False,Digital Wallet,Prepaid,On Going
690,882.98,110.69,0.0,10.0,3.1,Outdoor,Patio furniture,Affordable,False,Digital Wallet,Prepaid,Delivered
1640,1397.55,129.39,0.0,14.0,1.0,Bedroom,Sleeping,Affordable,False,Card,Prepaid,Failed Delivery
175,1756.23,148.02,0.0,13.0,2.2,Living Room,Seating,Affordable,False,Card,Prepaid,Failed Delivery
943,388.6,86.91,37.21,1.0,3.6,Office,Work,Affordable,True,Digital Wallet,Prepaid,On Going
141,1520.13,148.08,0.0,11.0,1.5,Outdoor,Seating,Affordable,False,Card,Prepaid,Failed Delivery
973,297.72,62.24,143.15,5.0,4.5,Dining Room,Table,Mid Range,True,Card,Prepaid,On Going
1135,350.81,81.75,261.1,6.0,2.3,Outdoor,Patio furniture,Mid Range,True,Card,Prepaid,On Going
110,1764.02,64.19,43.65,4.0,2.8,Bedroom,Sleeping,Premium,True,Digital Wallet,Prepaid,Delivered
594,1196.67,81.43,0.0,2.0,3.0,Kitchen,Table,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
559,1569.63,0.0,0.0,9.0,3.1,Outdoor,Patio furniture,Affordable,False,Bank Transfer,Prepaid,Delivered
1144,473.87,41.45,61.28,2.0,3.9,Outdoor,Patio furniture,Affordable,True,Card,Prepaid,Failed Delivery
1703,1733.11,73.85,0.0,8.0,1.5,Dining Room,Storage,Mid Range,False,Bank Transfer,Prepaid,On Going
99,2854.68,59.17,26.26,6.0,1.5,Bedroom,Sleeping,Affordable,True,Card,Prepaid,On Going
369,939.44,0.0,86.28,8.0,2.4,Kitchen,Table,Mid Range,True,Card,Prepaid,Failed Delivery
658,2255.53,98.5,237.78,4.0,4.3,Bedroom,Sleeping,Affordable,True,Digital Wallet,Prepaid,On Going
1282,1389.45,119.49,0.0,4.0,2.2,Kitchen,Table,Mid Range,False,Bank Transfer,Prepaid,Failed Delivery
1093,439.1,95.29,113.27,2.0,1.8,Outdoor,Seating,Premium,True,Card,Prepaid,Failed Delivery
1557,200.38,86.53,284.12,5.0,1.6,Outdoor,Patio furniture,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
1204,1990.81,54.38,67.07,5.0,2.4,Kitchen,Table,Mid Range,True,Card,Prepaid,Failed Delivery
866,396.19,91.09,75.16,1.0,2.7,Dining Room,Table,Premium,True,Bank Transfer,Prepaid,Failed Delivery
906,1766.79,53.15,0.0,6.0,3.5,Bedroom,Storage,Premium,False,Card,Prepaid,On Going
992,267.8,56.99,0.0,3.0,3.1,Outdoor,Seating,Mid Range,False,Digital Wallet,Prepaid,Delivered
373,2151.94,64.0,173.35,11.0,3.1,Kitchen,Table,Mid Range,True,Cash,Postpaid,On Going
1279,1279.6,138.07,39.39,5.0,3.7,Bedroom,Storage,Premium,True,Card,Prepaid,Failed Delivery
556,136.88,60.3,229.67,8.0,3.8,Office,Work,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
946,1171.42,82.25,62.5,7.0,2.2,Dining Room,Seating,Mid Range,True,Digital Wallet,Prepaid,Delivered
904,896.68,0.0,276.69,14.0,1.4,Bedroom,Storage,Affordable,True,Card,Prepaid,Failed Delivery
448,1666.53,107.07,25.94,6.0,2.1,Outdoor,Table,Mid Range,True,Card,Prepaid,On Going
1110,464.46,72.33,0.0,9.0,2.1,Office,Work,Mid Range,False,Digital Wallet,Prepaid,Delivered
848,540.45,0.0,0.0,3.0,3.9,Office,Work,Affordable,False,Card,Prepaid,Delivered
931,1666.58,0.0,0.0,7.0,1.9,Bedroom,Sleeping,Affordable,False,Digital Wallet,Prepaid,Delivered
991,739.8,0.0,0.0,2.0,1.9,Living Room,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
873,912.63,79.01,161.81,11.0,3.1,Office,Work,Affordable,True,Card,Prepaid,On Going
869,469.99,33.13,160.32,14.0,2.0,Dining Room,Storage,Premium,True,Card,Prepaid,Failed Delivery
1356,1200.61,93.53,193.74,4.0,3.6,Dining Room,Seating,Affordable,True,Digital Wallet,Prepaid,On Going
1162,432.6,85.45,183.21,7.0,1.4,Living Room,Seating,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
338,1022.47,73.85,41.08,3.0,2.9,Office,Storage,Premium,True,Card,Prepaid,On Going
88,231.45,53.6,0.0,10.0,3.8,Office,Work,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
537,1730.26,116.07,0.0,12.0,1.4,Bedroom,Sleeping,Affordable,False,Digital Wallet,Prepaid,Delivered
136,2292.89,0.0,77.44,12.0,2.7,Kitchen,Table,Affordable,True,Digital Wallet,Prepaid,On Going
1121,430.5,29.21,0.0,5.0,2.8,Kitchen,Storage,Affordable,False,Digital Wallet,Prepaid,On Going
653,668.01,125.74,0.0,10.0,2.4,Outdoor,Table,Premium,False,Card,Prepaid,On Going
1588,1276.99,51.36,0.0,8.0,3.1,Kitchen,Storage,Affordable,False,Cash,Postpaid,Failed Delivery
1674,1147.69,0.0,201.57,5.0,2.5,Outdoor,Table,Premium,True,Card,Prepaid,On Going
1140,1568.03,112.53,0.0,10.0,4.1,Bedroom,Sleeping,Affordable,False,Digital Wallet,Prepaid,On Going
7,500.87,137.64,0.0,4.0,2.6,Dining Room,Table,Mid Range,False,Card,Prepaid,Failed Delivery
1177,1884.23,114.5,190.37,14.0,3.1,Kitchen,Table,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
1528,465.64,53.52,41.51,8.0,3.7,Dining Room,Storage,Affordable,True,Card,Prepaid,Failed Delivery
1453,1007.99,0.0,0.0,11.0,4.8,Outdoor,Seating,Premium,False,Digital Wallet,Prepaid,Failed Delivery
927,2647.16,74.06,0.0,3.0,2.9,Bedroom,Sleeping,Premium,False,Digital Wallet,Prepaid,Failed Delivery
81,787.03,132.07,294.72,3.0,3.4,Outdoor,Seating,Mid Range,True,Card,Prepaid,Failed Delivery
1644,222.36,54.45,177.29,1.0,4.6,Living Room,Seating,Mid Range,True,Digital Wallet,Prepaid,On Going
1508,775.14,0.0,0.0,6.0,3.1,Office,Storage,Premium,False,Digital Wallet,Prepaid,Failed Delivery
1308,621.95,75.25,0.0,14.0,2.6,Kitchen,Storage,Mid Range,False,Cash,Postpaid,On Going
562,1366.68,137.11,66.02,5.0,2.7,Outdoor,Seating,Affordable,True,Digital Wallet,Prepaid,On Going
715,228.26,78.5,81.87,5.0,2.9,Living Room,Seating,Mid Range,True,Card,Prepaid,Failed Delivery
145,1176.35,149.51,132.12,2.0,2.2,Living Room,Table,Premium,True,Bank Transfer,Prepaid,Failed Delivery
1030,664.84,133.43,168.9,10.0,1.0,Office,Storage,Affordable,True,Cash,Postpaid,On Going
161,280.05,28.8,0.0,14.0,2.0,Office,Work,Premium,False,Digital Wallet,Prepaid,Delivered
1083,1901.96,96.06,0.0,11.0,3.2,Kitchen,Storage,Affordable,False,Card,Prepaid,Failed Delivery
210,615.58,113.67,37.5,7.0,2.3,Office,Work,Mid Range,True,Card,Prepaid,Failed Delivery
1396,1680.54,50.34,176.85,13.0,3.3,Kitchen,Table,Affordable,True,Card,Prepaid,Failed Delivery
315,2331.6,130.54,0.0,11.0,1.6,Bedroom,Storage,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
977,696.84,139.04,0.0,3.0,2.9,Dining Room,Table,Mid Range,False,Card,Prepaid,Failed Delivery
378,992.38,54.64,0.0,2.0,3.1,Dining Room,Storage,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
671,2435.04,90.93,0.0,14.0,3.7,Bedroom,Sleeping,Affordable,False,Card,Prepaid,Failed Delivery
1680,2119.24,73.85,0.0,1.0,3.9,Living Room,Table,Affordable,False,Cash,Postpaid,Failed Delivery
1275,1236.29,97.25,165.86,6.0,3.2,Dining Room,Table,Affordable,True,Bank Transfer,Prepaid,Failed Delivery
656,1477.66,0.0,29.77,14.0,3.1,Outdoor,Seating,Mid Range,True,Card,Prepaid,On Going
294,645.63,0.0,70.46,9.0,3.9,Kitchen,Storage,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
1362,1490.96,111.22,0.0,13.0,4.2,Office,Work,Premium,False,Digital Wallet,Prepaid,Failed Delivery
1420,800.14,54.41,41.55,4.0,3.5,Office,Work,Mid Range,True,Bank Transfer,Prepaid,Delivered
1310,233.47,57.79,0.0,2.0,3.1,Office,Work,Mid Range,False,Cash,Postpaid,Delivered
1251,1536.13,145.67,0.0,6.0,3.1,Kitchen,Storage,Mid Range,False,Digital Wallet,Prepaid,On Going
1209,343.55,86.8,0.0,10.0,2.1,Kitchen,Table,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1377,2029.52,74.6,0.0,5.0,3.1,Kitchen,Table,Mid Range,False,Digital Wallet,Prepaid,On Going
447,1771.88,101.76,0.0,1.0,1.9,Outdoor,Patio furniture,Affordable,False,Cash,Postpaid,On Going
408,1031.69,73.85,0.0,4.0,4.8,Living Room,Storage,Affordable,False,Card,Prepaid,Delivered
1196,1652.59,0.0,85.62,2.0,3.0,Outdoor,Patio furniture,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
1447,895.03,110.57,199.32,10.0,4.2,Outdoor,Table,Affordable,True,Card,Prepaid,Failed Delivery
1634,2775.24,113.06,0.0,7.0,3.2,Bedroom,Sleeping,Affordable,False,Card,Prepaid,Delivered
1893,1407.63,128.32,63.8,2.0,3.5,Office,Work,Premium,True,Cash,Postpaid,Failed Delivery
1156,1344.18,74.86,0.0,2.0,4.8,Bedroom,Storage,Premium,False,Card,Prepaid,Failed Delivery
959,709.83,128.67,0.0,13.0,2.2,Outdoor,Patio furniture,Affordable,False,Cash,Postpaid,On Going
795,1432.11,59.73,0.0,13.0,4.5,Dining Room,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1616,725.46,102.2,152.2,2.0,1.0,Office,Storage,Affordable,True,Card,Prepaid,Delivered
531,574.61,77.73,208.29,1.0,4.3,Outdoor,Table,Premium,True,Card,Prepaid,Failed Delivery
1049,526.22,77.75,33.32,11.0,2.3,Office,Work,Affordable,True,Digital Wallet,Prepaid,On Going
91,271.25,47.13,0.0,3.0,4.1,Dining Room,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
798,484.44,63.66,0.0,10.0,1.6,Bedroom,Sleeping,Affordable,False,Card,Prepaid,Failed Delivery
649,2105.77,0.0,0.0,9.0,3.1,Bedroom,Storage,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
502,559.61,75.81,0.0,7.0,4.7,Bedroom,Sleeping,Affordable,False,Digital Wallet,Prepaid,Delivered
61,1435.42,0.0,0.0,4.0,3.1,Dining Room,Seating,Mid Range,False,Card,Prepaid,Delivered
1427,665.41,0.0,0.0,13.0,2.5,Dining Room,Storage,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
851,1898.88,110.33,0.0,7.0,3.1,Kitchen,Table,Affordable,False,Card,Prepaid,Failed Delivery
1486,1270.54,69.61,0.0,14.0,2.2,Bedroom,Storage,Mid Range,False,Bank Transfer,Prepaid,On Going
647,2046.73,101.27,0.0,8.0,2.9,Bedroom,Storage,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1487,1668.2,76.93,0.0,14.0,4.5,Bedroom,Storage,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1462,595.7,94.06,0.0,7.0,3.9,Outdoor,Table,Premium,False,Bank Transfer,Prepaid,On Going
342,2141.93,126.74,0.0,12.0,3.9,Living Room,Table,Affordable,False,Cash,Postpaid,On Going
935,81.43,90.49,0.0,2.0,3.1,Office,Work,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
19,608.4,0.0,0.0,4.0,1.3,Kitchen,Storage,Premium,False,Card,Prepaid,On Going
698,1115.51,54.55,108.97,12.0,3.1,Outdoor,Seating,Premium,True,Digital Wallet,Prepaid,Failed Delivery
126,1726.31,81.02,0.0,3.0,4.8,Living Room,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
32,220.64,80.24,0.0,13.0,4.2,Bedroom,Sleeping,Affordable,False,Digital Wallet,Prepaid,On Going
1401,169.57,73.85,0.0,2.0,3.6,Dining Room,Table,Premium,False,Card,Prepaid,On Going
76,1773.61,52.89,65.54,1.0,1.4,Dining Room,Storage,Mid Range,True,Card,Prepaid,Failed Delivery
236,447.78,77.01,0.0,7.0,3.3,Dining Room,Table,Affordable,False,Digital Wallet,Prepaid,On Going
273,1028.68,0.0,28.94,11.0,3.8,Bedroom,Sleeping,Mid Range,True,Card,Prepaid,On Going
1913,1029.82,85.24,0.0,5.0,2.9,Office,Work,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
775,2077.7,0.0,228.74,11.0,2.7,Living Room,Table,Premium,True,Card,Prepaid,Delivered
1606,350.81,66.08,0.0,4.0,4.2,Outdoor,Seating,Affordable,False,Bank Transfer,Prepaid,On Going
578,89.4,72.91,0.0,7.0,2.8,Office,Work,Mid Range,False,Card,Prepaid,On Going
1374,1966.84,124.77,91.73,13.0,4.1,Bedroom,Storage,Affordable,True,Bank Transfer,Prepaid,Delivered
1107,1511.91,141.75,106.09,4.0,4.0,Dining Room,Table,Premium,True,Card,Prepaid,Failed Delivery
1116,375.47,50.03,0.0,14.0,2.8,Dining Room,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
850,346.74,35.76,0.0,4.0,3.6,Office,Work,Affordable,False,Bank Transfer,Prepaid,On Going
1407,485.95,93.42,162.71,13.0,3.7,Bedroom,Sleeping,Premium,True,Card,Prepaid,Failed Delivery
53,418.8,70.54,98.24,2.0,4.7,Dining Room,Seating,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
503,172.82,33.47,0.0,8.0,2.1,Office,Work,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1472,1590.35,93.79,0.0,14.0,4.5,Dining Room,Storage,Premium,False,Card,Prepaid,On Going
1621,306.35,68.35,149.69,1.0,1.1,Kitchen,Table,Affordable,True,Card,Prepaid,On Going
131,602.33,148.44,0.0,13.0,2.5,Office,Work,Premium,False,Card,Prepaid,Failed Delivery
1763,1253.87,116.41,35.79,2.0,2.0,Office,Work,Premium,True,Bank Transfer,Prepaid,On Going
1443,2235.36,89.78,34.66,11.0,2.3,Living Room,Seating,Affordable,True,Card,Prepaid,On Going
1272,1495.43,0.0,53.26,11.0,1.1,Living Room,Table,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
856,1021.81,61.84,40.11,3.0,2.3,Living Room,Storage,Premium,True,Digital Wallet,Prepaid,Failed Delivery
209,425.36,77.29,0.0,11.0,1.3,Office,Work,Mid Range,False,Card,Prepaid,On Going
1214,1087.84,122.93,0.0,8.0,4.1,Outdoor,Seating,Affordable,False,Bank Transfer,Prepaid,Delivered
28,485.94,72.57,0.0,9.0,4.6,Outdoor,Table,Affordable,False,Bank Transfer,Prepaid,On Going
492,744.39,103.43,178.11,2.0,4.0,Dining Room,Table,Affordable,True,Bank Transfer,Prepaid,Delivered
1271,1602.48,67.46,43.12,8.0,3.3,Outdoor,Patio furniture,Premium,True,Digital Wallet,Prepaid,Delivered
782,666.64,0.0,0.0,1.0,4.5,Office,Work,Affordable,False,Bank Transfer,Prepaid,Delivered
1467,1251.74,81.78,0.0,8.0,4.9,Office,Work,Affordable,False,Card,Prepaid,On Going
432,2356.07,73.85,0.0,4.0,1.2,Living Room,Table,Mid Range,False,Card,Prepaid,On Going
954,1475.43,134.17,0.0,14.0,2.8,Office,Work,Mid Range,False,Card,Prepaid,Failed Delivery
981,1722.52,0.0,127.8,7.0,4.9,Outdoor,Seating,Affordable,True,Cash,Postpaid,Delivered
526,514.2,85.38,0.0,10.0,4.4,Kitchen,Table,Affordable,False,Digital Wallet,Prepaid,Delivered
1105,1931.03,53.28,150.74,5.0,3.1,Kitchen,Table,Affordable,True,Cash,Postpaid,Failed Delivery
143,622.08,54.78,0.0,5.0,3.1,Outdoor,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1750,1156.71,0.0,0.0,9.0,1.6,Office,Work,Mid Range,False,Card,Prepaid,Failed Delivery
139,1911.47,128.64,281.0,1.0,4.9,Dining Room,Table,Affordable,True,Card,Prepaid,Failed Delivery
896,1064.37,0.0,0.0,5.0,4.2,Dining Room,Seating,Affordable,False,Card,Prepaid,Failed Delivery
1351,2107.15,0.0,273.63,8.0,3.1,Kitchen,Table,Mid Range,True,Digital Wallet,Prepaid,Delivered
812,178.11,53.29,292.77,13.0,1.7,Bedroom,Storage,Affordable,True,Digital Wallet,Prepaid,Delivered
33,458.07,90.41,0.0,4.0,4.7,Bedroom,Storage,Affordable,False,Cash,Postpaid,Delivered
1926,2243.93,0.0,150.33,6.0,3.7,Living Room,Table,Affordable,True,Card,Prepaid,On Going
425,453.43,56.67,128.47,12.0,2.1,Office,Work,Mid Range,True,Card,Prepaid,On Going
128,401.69,35.32,184.44,2.0,3.2,Office,Work,Affordable,True,Card,Prepaid,Failed Delivery
697,2069.08,112.07,26.5,8.0,2.0,Living Room,Seating,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
1167,1421.12,0.0,0.0,12.0,2.1,Bedroom,Storage,Premium,False,Digital Wallet,Prepaid,On Going
127,1491.75,132.9,226.27,1.0,1.7,Outdoor,Table,Mid Range,True,Cash,Postpaid,Delivered
659,1649.94,147.95,0.0,12.0,3.9,Living Room,Seating,Affordable,False,Digital Wallet,Prepaid,On Going
1613,367.57,65.07,0.0,3.0,2.8,Dining Room,Storage,Affordable,False,Card,Prepaid,Failed Delivery
71,291.68,57.4,0.0,10.0,1.4,Living Room,Seating,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
266,1053.88,67.93,160.34,8.0,4.1,Dining Room,Table,Affordable,True,Card,Prepaid,Delivered
720,712.96,73.85,74.04,13.0,2.3,Living Room,Table,Affordable,True,Card,Prepaid,Failed Delivery
1247,2842.04,141.01,0.0,11.0,4.9,Bedroom,Sleeping,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1364,1378.03,73.09,0.0,14.0,2.8,Office,Work,Affordable,False,Cash,Postpaid,Failed Delivery
1524,466.42,70.91,39.41,8.0,3.1,Dining Room,Storage,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
